date_extraction,temperature,clouds,pressure,visibility,wind_speed,humidity,wind_degree,ville
2022-08-08,10.2,96,1025.1,,19.4,77,127,Buenos Aires
2022-08-09,10.2,49,1029.0,,13.5,83,124,Buenos Aires
2022-08-10,10.4,40,1025.3,,13.4,78,50,Buenos Aires
2022-08-11,12.4,1,1019.9,,19.4,76,8,Buenos Aires
2022-08-12,13.4,75,1014.9,,14.2,80,28,Buenos Aires
2022-08-13,15.0,9,1014.9,,12.2,87,52,Buenos Aires
2022-08-14,17.0,56,1007.7,,17.0,82,37,Buenos Aires
2022-08-15,14.3,71,1003.1,,22.7,70,245,Buenos Aires
2022-08-16,12.0,80,1006.4,,17.0,52,314,Buenos Aires
2022-08-17,11.1,92,1006.9,,16.6,70,240,Buenos Aires
2022-08-18,7.2,7,1019.6,,21.0,57,230,Buenos Aires
2022-08-19,9.0,0,1026.1,,16.1,56,311,Buenos Aires
2022-08-20,11.0,16,1025.4,,17.7,58,348,Buenos Aires
2022-08-21,10.8,83,1025.6,,7.4,76,337,Buenos Aires
2022-08-22,11.0,64,1023.7,,18.6,84,89,Buenos Aires
2022-08-23,12.6,6,1018.1,,12.7,81,39,Buenos Aires
2022-08-24,15.0,32,1015.7,,9.6,83,51,Buenos Aires
2022-08-25,15.4,73,1014.3,,8.1,94,55,Buenos Aires
2022-08-26,14.8,97,1011.3,,9.4,96,70,Buenos Aires
2022-08-27,15.2,66,1012.2,,23.6,69,223,Buenos Aires
2022-08-28,7.5,1,1030.6,,14.5,58,194,Buenos Aires
2022-08-29,9.4,0,1030.7,,12.0,70,356,Buenos Aires
2022-08-30,12.0,20,1024.1,,16.9,76,31,Buenos Aires
2022-08-31,15.0,86,1014.9,,14.7,79,52,Buenos Aires
2022-09-01,15.9,100,1010.5,,11.2,88,84,Buenos Aires
2022-09-02,11.9,22,1020.5,,21.4,57,191,Buenos Aires
2022-09-03,11.3,0,1025.0,,10.1,71,19,Buenos Aires
2022-09-04,13.7,0,1023.1,,15.2,65,336,Buenos Aires
2022-09-05,13.9,0,1022.5,,11.2,66,358,Buenos Aires
2022-09-06,14.9,0,1017.7,,12.3,79,37,Buenos Aires
2022-09-07,17.2,0,1007.6,,17.9,72,17,Buenos Aires
2022-09-08,16.6,45,1004.5,,19.2,76,118,Buenos Aires
2022-09-09,9.8,66,1015.3,,26.0,66,202,Buenos Aires
2022-09-10,10.4,0,1021.0,,10.5,60,238,Buenos Aires
2022-09-11,12.6,49,1019.4,,10.8,67,39,Buenos Aires
2022-09-12,13.1,20,1016.3,,9.4,74,77,Buenos Aires
2022-09-13,12.6,27,1017.7,,9.1,88,100,Buenos Aires
2022-09-14,13.9,9,1022.5,,8.9,83,56,Buenos Aires
2022-09-15,14.9,0,1022.1,,14.9,77,44,Buenos Aires
2022-09-16,17.1,58,1019.3,,22.1,71,32,Buenos Aires
2022-09-17,18.8,97,1015.1,,24.2,68,39,Buenos Aires
2022-09-18,17.7,96,1011.1,,18.5,75,66,Buenos Aires
2022-09-19,17.4,56,1011.5,,17.6,75,239,Buenos Aires
2022-09-20,12.0,70,1015.5,,11.5,73,161,Buenos Aires
2022-09-21,13.1,95,1015.6,,14.1,75,120,Buenos Aires
2022-09-22,12.8,43,1015.9,,11.7,69,259,Buenos Aires
2022-09-23,12.3,12,1017.6,,8.7,70,33,Buenos Aires
2022-09-24,16.0,82,1017.1,,13.0,68,42,Buenos Aires
2022-09-25,15.6,95,1015.0,,16.9,67,88,Buenos Aires
2022-09-26,16.1,25,1011.5,,8.2,83,64,Buenos Aires
2022-09-27,17.2,27,1018.0,,13.5,62,155,Buenos Aires
2022-09-28,13.2,1,1027.2,,21.3,63,117,Buenos Aires
2022-09-29,14.1,90,1025.1,,21.1,57,88,Buenos Aires
2022-09-30,15.4,39,1020.7,,15.2,72,84,Buenos Aires
2022-10-01,16.5,42,1019.4,,9.9,74,79,Buenos Aires
2022-10-02,17.9,6,1020.3,,12.4,70,70,Buenos Aires
2022-10-03,13.8,36,1020.0,,23.8,71,103,Buenos Aires
2022-10-04,14.9,26,1014.8,,24.5,69,81,Buenos Aires
2022-10-05,17.0,96,1012.0,,20.0,68,90,Buenos Aires
